position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type
2,EURGBP,BUY,2021-07-05 02:00:00+00:00,2021-07-05 03:19:40+00:00,0.85735,0.85768,0.0003300000000000525,0.1,0.1,4.06,0.0,-0.5,3.5599999999999996,,[tp 0.85768],2,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
4,EURGBP,BUY,2021-07-06 02:00:00+00:00,2021-07-06 06:44:40+00:00,0.85677,0.85499,-0.0017800000000000038,0.1,0.1,-25.23,0.0,-0.5,-25.73,,[sl 0.85499],4,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
6,EURGBP,SELL,2021-07-07 12:00:00+00:00,2021-07-07 14:13:00+00:00,0.85808,0.85496,-0.0031199999999999006,0.1,0.1,42.64,0.0,-0.5,42.14,,[tp 0.85496],6,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
8,EURGBP,BUY,2021-07-08 02:00:00+00:00,2021-07-08 03:58:40+00:00,0.85469,0.85501,0.000320000000000098,0.1,0.1,3.91,0.0,-0.5,3.41,,[tp 0.85501],8,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
10,EURGBP,SELL,2021-07-09 03:45:00+00:00,2021-07-09 20:58:40+00:00,0.85884,0.85577,-0.003070000000000017,0.1,0.1,42.11,0.0,-0.5,41.61,,[tp 0.85577],10,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
12,EURGBP,BUY,2021-07-12 02:00:00+00:00,2021-07-12 10:33:40+00:00,0.85491,0.85527,0.00036000000000002697,0.1,0.1,4.5,0.0,-0.5,4.0,,[tp 0.85527],12,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
14,EURGBP,BUY,2021-07-13 02:00:00+00:00,2021-07-13 11:25:40+00:00,0.85486,0.85518,0.000320000000000098,0.1,0.1,3.94,0.0,-0.5,3.44,,[tp 0.85518],14,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
16,EURGBP,BUY,2021-07-14 02:00:00+00:00,2021-07-14 11:36:40+00:00,0.85281,0.851,-0.0018099999999999783,0.1,0.1,-25.59,0.0,-0.5,-26.09,,[sl 0.85100],16,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
18,EURGBP,SELL,2021-07-15 11:00:00+00:00,2021-07-15 13:08:20+00:00,0.85661,0.85331,-0.0032999999999999696,0.1,0.1,45.3,0.0,-0.5,44.8,,[tp 0.85331],18,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
20,EURGBP,BUY,2021-07-16 02:00:00+00:00,2021-07-16 09:51:40+00:00,0.85469,0.85508,0.00039000000000000146,0.1,0.1,4.89,0.0,-0.5,4.39,,[tp 0.85508],20,0.85768,IS,listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\EURGBP\listOfTrades_EURGBP_49_2.36.141_BOTH_M15.csv,DEMO_ACCOUNT,EURGBP,DEMO_ACCOUNT
